106,86,86
21,0,36
18,60,48
0,174,130
30,160,125
102,0,107
0,120,105
76,0,64
86,107,87
71,0,121
83,15,68
25,0,45
0,0,113
0,122,101
3,87,84
37,0,57
126,145,120
75,0,65
0,0,36
9,0,63
30,21,45
0,35,42
0,0,102
0,55,120
0,0,45
3,0,15
0,0,120
90,0,115
15,36,36
0,0,70
0,58,80
0,115,115
70,0,78
57,67,67
89,25,90
0,0,107
27,0,42
0,0,60
35,45,45
54,144,117
30,35,35
117,117,81
119,0,80
0,0,52
15,50,50
104,21,104
43,43,38
0,0,54
21,0,39
0,90,65
50,0,80
122,122,102
0,0,48
128,128,116
0,20,41
0,95,83
0,21,70
0,45,45
97,0,76
5,12,21
30,0,48
9,18,18
0,51,51
0,113,73
82,0,73
0,146,115
0,75,65
104,0,98
66,0,90
0,0,67
39,69,63
105,0,90
0,93,90
0,0,35
0,18,50
50,0,50
138,0,97
0,36,36
31,156,131
75,0,95
50,0,54
12,101,80
87,27,75
15,0,39
0,23,23
0,76,57
91,9,67
24,30,30
109,0,70
0,0,49
63,0,51
0,104,100
59,79,65
0,27,48
3,30,30
35,0,40
104,104,75
0,0,50
0,0,58
80,0,50
0,0,97
19,104,69
110,110,78
0,18,40
24,109,88
0,120,80
0,0,75
80,85,70
0,59,42
126,135,86
0,0,42
12,40,40
0,0,54
0,0,85
45,0,45
0,51,51
0,24,69
30,0,30
0,0,55
69,0,50
21,45,45
0,0,95
75,0,72
0,0,50
101,101,101
98,0,85
0,77,85
21,39,39
0,85,65
89,0,99
50,50,50
78,109,71
0,0,95
76,150,114
76,91,79
79,82,79
96,0,76
0,50,50
0,0,126
61,119,81
0,104,82
55,0,84
40,40,40
0,0,105
0,0,39
39,0,81
58,3,70
0,30,73
55,75,55
69,84,69
0,0,45
147,0,117
30,42,42
45,0,45
0,50,50
27,35,45
0,54,54
64,0,82
0,68,68
62,72,60
53,71,53
58,61,37
18,0,24
0,108,90
125,18,98
50,0,50
86,0,71
56,0,50
0,0,85
0,50,50
35,40,40
0,0,60
0,0,50
40,45,45
94,0,79
0,107,87
0,0,99
0,30,30
0,40,40
111,0,87
97,0,62
50,50,50
53,118,75
50,50,50
0,90,55
0,50,50
0,50,50
63,0,63
0,0,47
0,0,45
0,22,80
65,133,115
0,140,115
0,0,15
0,73,70
0,50,50
140,0,100
118,118,83
54,54,84
0,128,107
15,54,54
0,40,70
95,95,80
0,0,80
23,0,25
36,0,45
39,0,45
5,15,15
79,0,64
104,0,83
21,0,48
18,18,70
0,0,93
0,6,21
0,76,64
0,50,45
0,75,65
35,0,35
0,133,103
44,86,59
70,40,70
0,0,128
6,54,54
0,88,73
0,0,97
112,112,94
45,54,54
0,0,45
6,50,50
6,36,36
5,15,15
30,0,50
18,0,36
43,0,46
0,9,50
68,68,50
15,0,55
40,54,54
42,0,77
25,25,25
50,0,50
30,30,30
35,36,36
40,40,40
67,67,67
0,0,74
0,130,110
40,0,70
0,15,15
39,40,40
86,0,74
94,0,94
86,86,86
105,115,105
0,56,42
0,15,85
3,64,67
35,0,45
26,56,68
92,119,99
0,61,61
0,50,50
78,113,113
71,71,71
21,54,54
113,113,89
20,20,45
15,0,20
12,50,50
30,0,50
40,0,40
51,51,51
33,0,36
0,132,105
36,66,66
85,85,80
140,0,105
77,0,59
0,0,35
0,45,45
18,0,38
45,0,45
12,91,70
0,70,45
0,105,65
77,0,59
21,45,45
74,0,74
72,97,85
83,83,65
27,0,62
71,71,52
25,0,48
0,0,70
0,0,50
30,30,70
0,75,60
145,0,75
73,88,48
3,3,48
30,30,48
42,18,42
72,0,60
0,86,95
45,45,45
3,50,50
30,0,42
9,0,46
96,69,69
0,0,90
0,115,85
6,96,96
70,0,76
134,154,104
74,79,65
0,0,77
57,77,50
150,15,85
0,55,60
40,40,40
100,0,70
45,0,47
0,84,70
60,0,55
35,0,65
78,78,68
100,100,70
0,0,50
0,0,72
0,88,70
45,45,45
110,120,90
21,45,45
0,0,64
3,105,84
0,116,80
0,61,54
3,0,80
6,0,57
0,0,50
0,0,40
0,51,51
61,61,51
120,0,84
97,0,100
50,50,50
30,0,40
0,19,53
0,21,70
95,95,75
0,0,112
21,60,45
50,0,65
68,68,52
93,93,87
85,121,100
51,51,51
0,45,45
0,0,90
20,41,44
0,40,40
30,0,50
0,0,42
110,0,100
0,100,55
0,61,55
0,121,100
73,0,85
15,0,50
12,0,36
30,0,35
0,0,80
68,95,68
96,96,78
103,129,101
90,0,57
24,48,48
0,45,45
0,82,61
0,0,85
0,0,80
0,87,47
118,0,75
95,0,75
0,82,58
94,94,79
0,0,30
40,71,50
0,93,73
0,130,95
0,50,50
83,0,65
0,0,50
72,81,51
0,56,51
92,0,71
40,40,40
49,0,29
124,27,70
0,35,35
10,0,40
0,94,85
35,0,35
0,0,35
93,103,55
0,0,75
42,48,48
99,139,75
43,0,25
0,51,36
0,0,40
20,85,65
96,0,54
0,78,78
0,0,50
35,0,45
54,75,66
0,0,55
0,0,60
0,0,45
0,45,45
30,0,42
60,0,55
15,140,90
65,0,65
0,57,57
25,0,49
107,12,72
77,0,60
0,0,50
0,84,74
121,21,70
72,0,69
0,30,55
104,104,59
0,24,45
90,120,75
0,100,85
88,95,70
0,145,70
9,27,30
0,90,60
84,84,59
30,0,48
15,15,69
80,0,60
140,0,95
0,0,85
57,0,44
15,0,40
9,61,52
40,40,40
52,0,43
0,136,101
0,30,30
81,0,84
30,0,48
40,50,50
0,0,42
95,0,89
63,58,73
27,101,74
0,0,130
99,99,99
21,30,68
38,53,53
124,0,89
18,57,48
0,120,120
10,75,70
0,125,100
0,0,115
21,0,39
0,40,40
0,0,40
50,0,50
65,97,97
0,82,51
0,0,40
6,18,42
0,74,74
0,71,104
20,0,50
0,40,45
45,45,45
12,30,30
34,0,108
90,0,90
0,77,52
45,45,45
0,12,97
79,0,59
40,100,85
5,45,45
89,0,89
50,50,50
0,15,25
40,15,50
35,9,45
0,0,54
50,54,54
125,110,110
112,112,107
0,21,84
30,0,60
25,25,25
57,63,60
117,0,93
42,67,62
0,92,110
81,116,110
61,110,101
12,72,64
38,0,48
42,54,54
0,0,92
0,50,50
115,115,97
